,Şəhər,Sürətlər qutusu,Marka,Ötürücü,Model,Yeni,Buraxılış ili,Yürüş,Yerlərin sayı,Ban növü,Sahiblər,Rəng,Hansı bazar üçün yığılıb,Avtosalon,price,Motor,At gücü,Yanacaq,Yüngül lehimli disklər,Mərkəzi qapanma,Dəri salon,Oturacaqların ventilyasiyası,ABS,Park radarı,Ksenon lampalar,Lyuk,Kondisioner,Arxa görüntü kamerası,Yağış sensoru,Oturacaqların isidilməsi,Yan pərdələr
110,Bakı,Avtomat,Mercedes,Tam,GL 63 AMG,Xeyr,2014,197000,7,Offroader ,0,Qara,Digər,Yes,69700.0,5.5,557.0,Benzin,True,True,True,True,True,False,True,True,True,True,True,True,True
111,Bakı,Avtomat,Changan,Ön,Uni-Z,Bəli,2024,0,5,Offroader ,0,Yaş Asfalt,Digər,Yes,42900.0,1.5,238.0,Plug-in Hibrid,True,True,True,True,True,True,True,True,True,True,True,True,True
112,Bakı,Avtomat,Kia,Tam,Sportage,Bəli,2023,0,5,Offroader ,0,Boz,Rəsmi diler,Yes,60900.0,1.6,141.0,Dizel,True,True,True,True,True,True,False,True,True,True,True,True,False
113,Sumqayıt,Avtomat,Mercedes,Tam,ML 320,Xeyr,2000,202000,5,Offroader ,2,Ağ,Digər,No,10900.0,3.2,218.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
114,Bakı,Mexaniki,Ford,Arxa,Transit,Xeyr,1998,320000,5,Yük maşını,2,Ağ,Digər,No,28800.0,2.5,76.0,Dizel,False,False,False,False,False,False,False,False,False,False,False,False,False
115,Bakı,Avtomat,Kia,Ön,Sorento,Xeyr,2020,67500,5,Offroader ,0,Qara,Digər,No,53550.0,1.6,230.0,Hibrid,True,True,True,True,True,True,True,False,True,True,True,True,False
116,Sumqayıt,Mexaniki,Opel,Ön,Astra,Xeyr,2007,287538,5,"Hetçbek, ",2,Qızılı,Avropa,No,9000.0,1.3,90.0,Dizel,True,False,False,False,True,False,False,False,True,False,False,False,False
117,Bakı,Avtomat,BMW,Arxa,535,Xeyr,2016,144500,5,Sedan,1,Yaş Asfalt,Amerika,No,45900.0,3.0,306.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
118,Bakı,Avtomat,Toyota,Ön,Camry,Bəli,2023,11,5,Sedan,0,Yaş Asfalt,Digər,No,78030.0,2.5,220.0,Hibrid,True,True,True,False,True,True,True,True,True,True,True,False,True
119,Bakı,Avtomat,Jeep,Tam,Grand Cherokee,Xeyr,2011,188000,5,Offroader ,2,Ağ,Rəsmi diler,No,34000.0,3.6,286.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
120,Bakı,Avtomat,Mercedes,Arxa,E 220 d,Xeyr,2019,84000,5,Sedan,2,Yaş Asfalt,Avropa,No,73950.0,2.0,194.0,Dizel,True,True,True,False,True,True,True,True,True,True,True,True,False
144,Bakı,Avtomat,Toyota,Tam,Land Cruiser,Xeyr,2013,142000,7,Offroader ,2,Qara,Digər,Yes,66130.0,4.0,282.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,False
145,Sumqayıt,Mexaniki,Daewoo,Ön,Nexia,Xeyr,2005,358006,5,Sedan,0,Ağ,Digər,Yes,4000.0,1.4,75.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
146,Bakı,Avtomat,BMW,Tam,428,Xeyr,2013,105000,5,Kupe,0,Boz,Amerika,Yes,37230.0,2.0,245.0,Benzin,True,True,True,False,True,True,True,True,True,True,True,True,False
147,Bakı,Avtomat,Chevrolet,Tam,Monza,Bəli,2023,0,5,Sedan,0,Qara,Digər,Yes,28999.0,1.3,163.0,Hibrid,True,True,True,False,True,True,True,True,True,True,True,True,False
148,Bakı,Avtomat,BYD,Ön,Song Plus DM-İ,Bəli,2024,0,5,Offroader ,0,Boz,Digər,Yes,35394.0,1.5,307.0,Plug-in Hibrid,True,True,True,True,True,True,True,True,True,True,True,True,False
149,Bakı,Avtomat,Toyota,Tam,Land Cruiser Prado,Xeyr,2006,255000,7,Offroader ,2,Qara,Yaponiya,No,23900.0,2.7,163.0,Benzin,False,True,False,False,True,True,True,False,True,True,False,False,False
150,Bakı,Variator,Toyota,Ön,Aqua,Xeyr,2015,50000,5,"Hetçbek, ",2,Qırmızı,Yaponiya,No,17800.0,1.5,74.0,Hibrid,False,True,False,False,True,True,True,False,True,True,False,True,False
151,Bakı,Avtomat,Lexus,Tam,LS 500,Xeyr,2018,72000,5,Sedan,1,Yaş Asfalt,Avropa,No,105400.0,3.5,315.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
152,Bakı,Avtomat,Ford,Ön,Edge,Xeyr,2018,172000,5,Offroader ,1,Qara,Amerika,No,32300.0,2.0,245.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
153,Bakı,Avtomat,Hyundai,Ön,Avante,Xeyr,2016,186000,5,Sedan,1,Ağ,Avropa,No,26500.0,1.6,132.0,Dizel,True,True,True,True,True,True,True,False,True,True,True,True,False
154,Bakı,Avtomat,Kia,Ön,Sportage,Xeyr,2015,138000,5,Offroader ,1,Ağ,Digər,No,32300.0,2.0,184.0,Dizel,True,True,True,False,True,True,False,True,True,True,True,True,True
155,Bakı,Avtomat,Nissan,Tam,Patrol,Xeyr,2000,522000,7,Offroader ,2,Yaşıl,Avropa,No,21800.0,3.0,158.0,Dizel,True,True,True,False,True,True,False,True,True,True,True,True,False
156,Bakı,Avtomat,BMW,Tam,X7,Xeyr,2019,43000,7,Offroader ,1,Qara,Amerika,No,123250.0,3.0,340.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,False
179,Bakı,Avtomat,Toyota,Ön,Camry,Xeyr,2021,69900,4,Sedan,1,Qara,Avropa,No,60350.0,2.5,181.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
180,Bakı,Avtomat,Mercedes,Tam,GL 550,Xeyr,2008,189000,7,Offroader ,2,Qara,Digər,Yes,29900.0,5.5,382.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,False
181,Bakı,Avtomat,Land Rover,Tam,Range Rover,Bəli,2023,0,5,Offroader ,0,Qara,Avropa,Yes,336430.0,3.0,300.0,Dizel,True,True,True,False,True,True,True,True,True,True,True,True,True
182,Bakı,Reduktor,Toyota,Tam,bZ4X,Bəli,2022,0,5,Offroader ,0,Qara,Digər,Yes,54230.0,0.0,204.0,Elektro,True,True,True,True,True,True,True,True,True,True,True,True,False
183,Bakı,Reduktor,XPeng,Tam,G9,Bəli,2024,0,5,Offroader ,0,Açıq yaşıl,Avropa,Yes,103530.0,0.0,551.0,Elektro,True,True,True,True,True,True,True,False,True,True,True,True,False
184,Bakı,Avtomat,Land Rover,Ön,Discovery,Xeyr,2016,193121,7,Offroader ,1,Ağ,Digər,Yes,30000.0,2.0,300.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
185,Bakı,Avtomat,Mercedes,Arxa,E 300,Xeyr,2017,100000,5,Sedan,0,Göy,Amerika,No,51000.0,2.0,245.0,Benzin,True,True,True,False,True,True,True,True,True,True,False,True,False
186,Bakı,Avtomat,Volkswagen,Ön,Passat CC,Xeyr,2012,175000,5,Kupe,2,Qara,Avropa,No,17900.0,2.0,211.0,Benzin,True,True,True,False,True,True,True,True,True,False,True,True,False
187,Bakı,Avtomat,Volkswagen,Tam,Tiguan,Xeyr,2021,23000,5,Offroader ,1,Qara,Digər,No,50000.0,2.0,210.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,False
188,Bakı,Avtomat,Toyota,Tam,Land Cruiser Prado,Xeyr,2005,204500,7,Offroader ,2,Ağ,Dubay,No,26000.0,4.0,249.0,Benzin,True,False,True,False,True,True,False,True,True,True,False,True,True
189,Bakı,Mexaniki,Toyota,Ön,Avensis,Xeyr,2007,258000,5,"Universal, ",0,Yaş Asfalt,Digər,No,16000.0,2.0,126.0,Dizel,True,True,False,False,True,True,False,False,True,False,True,False,False
190,Zaqatala,Avtomat,Mercedes,Arxa,E 220 d,Xeyr,2007,282000,5,Sedan,1,Gümüşü,Avropa,No,22000.0,2.2,170.0,Dizel,False,False,False,False,False,False,False,False,False,False,False,False,False
191,Bakı,Avtomat,Mercedes,Tam,GLS 450 4MATIC,Xeyr,2017,70000,7,Offroader ,2,Qara,Digər,No,96560.0,3.0,367.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
192,Bakı,Avtomat,Hyundai,Ön,Avante,Xeyr,2014,148000,5,Sedan,0,Ağ,Koreya,No,22200.0,1.6,132.0,Dizel,True,True,True,False,True,True,True,False,True,False,True,True,False
209,Bakı,Mexaniki,MAN,Arxa,TGX 18.480,Xeyr,2011,1400000,2,Dartqı,1,Ağ,Avropa,No,73500.0,12.0,480.0,Dizel,True,True,False,False,True,False,False,True,True,False,False,True,True
210,Bakı,Avtomat,Land Rover,Tam,Discovery,Xeyr,2015,149000,5,Offroader ,0,Yaş Asfalt,Avropa,Yes,57630.0,3.0,340.0,Dizel,True,True,True,True,True,True,True,True,True,True,True,True,True
211,Bakı,Reduktor,ZEEKR,Tam,007,Bəli,2024,0,5,Sedan,0,Qara,Çin,Yes,78030.0,0.0,646.0,Elektro,True,True,True,True,True,True,True,True,True,True,True,True,False
